from,to,line,17_in,17_out,18_in,18_out,19_in,19_out,20_in,20_out
삼성(무역센터),선릉,2,218717,88905,392753,100338,193903,68267,122701,39431
선릉,역삼,2,184902,60353,303219,72105,152574,53368,91600,29338
역삼,강남,2,273086,195025,396172,267945,257779,205506,213890,99112
강남,교대(법원.검찰청),2,155419,130225,248917,152264,142100,94137,135349,48592
교대(법원.검찰청),서초,2,77044,59492,123874,57689,78367,36611,68534,18076
서초,방배,2,60528,40830,85259,49140,40204,39399,30068,24927
방배,사당,2,145171,198002,174289,297042,129745,229942,119515,137225
사당,낙성대,2,56066,63935,63133,103880,38411,99963,28912,65693
낙성대,서울대입구,2,,,,,,,,
서울대입구,봉천,2,38217,59815,40156,90486,25415,83499,19307,52534
봉천,신림,2,108368,164995,115034,271595,77845,270659,62539,169696
신림,신대방,2,43343,72967,52160,103061,31150,97136,21961,64760
신대방,구로디지털단지,2,133612,131295,254236,191683,135711,164753,83059,106568
구로디지털단지,대림(구로구청),2,78838,114438,96677,125750,56842,95129,43050,65951
대림(구로구청),신도림,2,139779,147258,185888,222474,111533,181164,92019,105365
신도림,문래,2,55533,36911,105501,55937,43150,44778,27771,26253
문래,영등포구청,2,64383,47228,127930,73476,49996,53724,35826,31943
영등포구청,당산,2,92270,97471,129125,150952,70667,121015,51585,81492
당산,합정,2,122026,121081,181649,176483,123006,135548,100121,73382
합정,홍대입구,2,235063,264995,281212,343599,226023,283148,216938,169265
홍대입구,신촌(지하),2,,,,,,,,
신촌(지하),이대,2,73823,41953,62115,49770,41609,36924,34530,21567
이대,아현,2,25680,25197,25204,34000,14821,28414,10826,19279
아현,충정로(경기대입구)(경기대입구),2,,,,,,,,
충정로(경기대입구)(경기대입구),시청,2,194011,62386,378780,64429,153827,36228,117434,20233
성수,용답,2,5496,6991,4727,11012,2971,8450,1989,5471
용답,신답,2,2328,4345,2554,9511,1456,7565,852,4016
신답,용두(동대문구청),2,6063,5169,6720,8283,3098,6214,2235,3584
용두(동대문구청),신설동,2,69110,40053,102295,43168,43462,32733,27005,22211
신도림,도림천,2,3353,2153,3808,2797,1926,2531,1016,1705
도림천,양천구청,2,11164,20261,10661,32254,4792,29217,3301,17093
양천구청,신정네거리,2,18291,29370,15443,46319,8759,38340,6526,22710
신정네거리,까치산,2,38616,77186,38649,128273,24532,120045,18778,74886
대화,주엽,3,20096,25758,18635,30486,10239,31765,8758,18992
주엽,정발산,3,25734,19392,32073,25171,16864,20875,17620,12006
정발산,마두,3,19547,18250,24128,22180,12189,21449,7841,12894
마두,백석,3,27952,27111,32466,31523,18826,31769,14668,19014
백석,대곡,3,4355,3157,5810,4598,2563,4124,1467,2407
대곡,화정,3,38002,55843,37954,72596,22650,67514,18360,41254
화정,원당,3,19634,31304,18738,42278,10824,42371,7214,28141
원당,원흥,3,15560,22367,15255,31178,8080,33648,5908,20543
원흥,삼송,3,36758,44383,35207,64563,22341,61213,15655,38253
삼송,지축,3,4789,3698,2379,5185,942,4359,575,3213
지축,구파발,3,46966,48004,40781,77114,26400,72194,20340,42804
구파발,연신내,3,70439,100784,63513,156547,44608,148630,34628,91275
연신내,불광,3,51925,63347,54595,91033,31902,76830,24531,45216
불광,녹번,3,23661,31600,23035,51941,10913,48806,7998,31070
녹번,홍제,3,39300,48342,36416,69416,20157,59942,14921,38680
홍제,무악재,3,6809,11342,7784,16043,3494,15026,2537,9908
무악재,독립문,3,21673,18674,21723,22266,10533,18383,7678,11994
독립문,경복궁(정부서울청사),3,125270,45916,153247,52029,69919,37308,54177,19568
경복궁(정부서울청사),안국,3,133838,38639,149556,35845,66986,19196,50187,9913
안국,종로3가,3,201165,112660,266933,124358,183998,74619,130293,35386
종로3가,을지로3가,3,119911,56797,220300,69137,106117,44481,75356,24110
을지로3가,충무로,3,108402,51239,181066,55676,98541,35965,70702,21020
충무로,동대입구,3,49593,23228,53345,26857,30195,13760,35590,7323
동대입구,약수,3,39585,41917,52962,59071,31926,43440,24367,27922
약수,금호,3,13757,23157,13928,33673,9075,26438,6988,18946
금호,옥수,3,20711,27652,21792,39338,14373,31407,10607,22550
옥수,압구정,3,97241,66933,155554,77554,111764,48345,86630,23747
압구정,신사,3,96558,68683,154539,91090,112575,60888,77850,29062
신사,잠원,3,13854,16344,15072,21690,8427,17783,5512,11715
잠원,고속터미널,3,281870,244264,286949,266759,249402,183899,273786,112185
고속터미널,교대(법원.검찰청),3,155419,130225,248917,152264,142100,94137,135349,48592
교대(법원.검찰청),남부터미널,3,,,,,,,,
남부터미널,양재(서초구청),3,132690,75300,227746,94410,114047,70229,83269,41573
양재(서초구청),매봉,3,33995,18587,65039,23189,26086,19010,17106,11156
매봉,도곡,3,39336,24092,48963,27658,25417,25507,16477,16204
도곡,대치,3,31583,37186,31392,35113,23336,29964,16042,16801
대치,학여울,3,7769,4450,8426,5133,3902,4282,2773,2894
학여울,대청,3,23863,20776,29901,27447,13372,26998,10259,17964
대청,일원,3,32801,17903,19359,22896,11674,21139,9264,13330
일원,수서,3,82946,77034,107835,101584,52105,81616,47994,57157
수서,가락시장,3,40929,42116,63801,55968,29546,44819,24593,28176
가락시장,경찰병원,3,16778,15925,24329,23045,9090,21366,6695,12933
경찰병원,오금,3,21445,21592,30401,32867,12211,28244,8341,18206
당고개,상계,4,29177,48953,29438,70534,18631,70746,13360,45194
상계,노원,4,88585,116370,95730,166678,66696,148279,67624,84385
노원,창동,4,53884,77599,58222,111194,32781,105043,25360,67549
창동,쌍문,4,45760,76111,43836,116154,29764,118286,20517,75693
쌍문,수유(강북구청),4,67381,90740,77301,142614,48104,136526,35855,86850
수유(강북구청),미아(서울사이버대학),4,33780,38969,35257,53867,21683,49154,14604,30492
미아(서울사이버대학),미아사거리,4,53842,78620,55709,116041,41122,102386,38810,61759
미아사거리,길음,4,48593,54857,47393,79974,28471,73854,20322,45594
길음,성신여대입구(돈암),4,66904,66929,73500,92577,49631,79689,42720,48695
성신여대입구(돈암),한성대입구(삼선교),4,40679,37485,42221,46058,26286,38427,23255,25304
한성대입구(삼선교),혜화,4,132229,94352,154400,113052,96869,86733,93170,32019
혜화,동대문,4,141722,63299,134275,59317,76336,65494,55852,46316
동대문,동대문역사문화공원,4,142582,80547,202205,94219,122924,111993,92796,71107
동대문역사문화공원,충무로,4,108402,51239,181066,55676,98541,35965,70702,21020
충무로,명동,4,115758,99537,163830,94283,112702,70603,101917,45054
명동,회현(남대문시장),4,143572,35245,148332,28500,70502,17358,67793,10452
회현(남대문시장),서울역,4,285787,197502,432083,205334,235908,157095,171212,116898
서울역,숙대입구(갈월),4,45554,32330,66688,44002,35707,31147,27879,19796
숙대입구(갈월),삼각지,4,38346,22270,57242,28709,25606,20738,19377,14186
삼각지,신용산,4,54598,30680,100506,38960,48195,25814,35193,15448
신용산,이촌(국립중앙박물관),4,46872,33505,45460,43774,22239,32396,20731,18559
이촌(국립중앙박물관),동작(현충원),4,12262,10524,13234,14349,7093,11131,7431,7592
동작(현충원),총신대입구(이수),4,41738,65181,51815,95053,32195,69477,28272,39268
총신대입구(이수),사당,4,145171,198002,174289,297042,129745,229942,119515,137225
사당,남태령,4,4978,2096,4965,2442,2111,2325,1113,1541
남태령,선바위,4,27863,16035,38492,21841,19353,17756,11528,13260
선바위,경마공원,4,38790,3028,75645,2805,10887,2017,2738,1474
경마공원,대공원,4,29934,5453,26593,4084,10704,2778,7386,1330
대공원,과천,4,16402,10493,8860,15739,4596,14709,2906,9503
과천,정부과천청사,4,36744,19789,58575,30164,17595,23898,15034,12214
정부과천청사,인덕원,4,55379,56919,90722,88982,38116,83633,29062,46517
인덕원,평촌,4,40431,34206,64936,53301,30281,53126,23045,29867
평촌,범계,4,60158,75193,74671,107149,46952,98185,47706,52440
범계,금정,4,58922,67553,78886,96889,37981,83914,30380,52850
금정,산본,4,34327,49711,38244,72946,27543,68520,21066,40295
산본,수리산,4,5737,8470,6312,12821,3421,11910,2333,7882
수리산,대야미,4,10422,11184,11930,15332,6421,13259,4888,9833
대야미,반월,4,10115,11885,10245,16613,5710,13413,3740,10847
반월,상록수,4,39785,51754,35734,80521,23087,78127,18519,49541
상록수,한대앞,4,21230,22030,20788,32393,11674,28410,9485,19229
한대앞,중앙,4,41293,47869,42573,68585,28049,62443,26884,38817
중앙,고잔,4,23002,19070,24552,25201,11619,22454,8648,15139
고잔,초지,4,12871,10515,12951,14004,6085,13818,4295,9024
초지,안산,4,49428,30604,54122,37093,29340,30918,24679,21748
안산,신길온천,4,3889,4187,4100,5952,2000,4830,1406,3705
신길온천,정왕,4,30610,16921,33905,23080,18745,18671,13548,14991
정왕,오이도,4,25873,26998,24595,35494,15946,31140,10697,22498
방화,개화산,5,13113,12133,17222,17071,7784,16900,4903,10361
개화산,김포공항,5,78522,69407,103055,73088,70730,46288,60308,21639
김포공항,송정,5,17539,17622,19024,23349,11143,21706,8259,14655
송정,마곡,5,20366,11740,22903,18122,10092,16661,6754,9472
마곡,발산,5,65872,35681,82353,53184,42657,43840,32970,22656
발산,우장산,5,27302,37087,24144,58261,14008,54292,10460,31983
우장산,화곡,5,43198,73958,46089,126503,28298,114275,20347,68592
화곡,까치산,5,38616,77186,38649,128273,24532,120045,18778,74886
까치산,신정(은행정),5,16676,26242,18683,43138,9922,36617,6730,23848
신정(은행정),목동,5,32496,54554,38311,92678,20707,74232,16690,42292
목동,오목교(목동운동장앞),5,55844,63574,85071,93621,46902,67940,46620,37705
오목교(목동운동장앞),양평,5,23050,21647,39956,30551,15383,24046,9664,17140
양평,영등포구청,5,64383,47228,127930,73476,49996,53724,35826,31943
영등포구청,영등포시장,5,31469,19286,41672,29552,19522,19536,14094,11824
영등포시장,신길,5,28325,29072,50338,41631,20306,30468,13800,21414
신길,여의도,5,223752,65637,333852,84043,137622,49052,106182,25613
여의도,여의나루,5,53859,55860,75420,55933,51979,42623,49853,20760
여의나루,마포,5,34181,29894,66269,52738,27093,34377,24354,18430
마포,공덕,5,109679,76972,200920,120230,84530,78782,64670,46085
공덕,애오개,5,15196,15378,26262,24741,9783,17198,7335,10722
애오개,충정로(경기대입구)(경기대입구),5,,,,,,,,
충정로(경기대입구)(경기대입구),서대문,5,65516,24404,125266,32197,39174,20693,27989,13240
서대문,광화문(세종문화회관),5,143321,55376,262842,67445,113891,36785,83849,16084
광화문(세종문화회관),종로3가,5,201165,112660,266933,124358,183998,74619,130293,35386
종로3가,을지로4가,5,75955,26303,117646,23915,57831,14914,31427,9067
을지로4가,동대문역사문화공원,5,142582,80547,202205,94219,122924,111993,92796,71107
동대문역사문화공원,청구,5,17159,16396,28820,21810,19693,16924,11955,10782
청구,신금호,5,11029,17253,11444,28172,7981,20737,5793,12885
신금호,행당,5,11616,20818,11876,34457,7183,26323,5712,16323
행당,왕십리(성동구청),5,97572,103221,108727,164778,75098,123470,70654,73598
왕십리(성동구청),마장,5,13928,13754,15026,20277,9364,15360,7362,9137
마장,답십리,5,28812,36484,39004,59934,22097,48477,13919,28552
답십리,장한평,5,42650,38351,69225,62030,36214,51583,17995,30563
장한평,군자(능동),5,49577,59834,63507,94986,41791,79147,31740,45807
군자(능동),아차산(어린이대공원후문),5,32264,39034,32749,55980,20125,46678,13805,28015
아차산(어린이대공원후문),광나루(장신대),5,33313,30498,38797,44562,19356,35401,14594,22071
광나루(장신대),천호(풍납토성),5,88170,107838,104901,154881,71981,124712,63745,69014
천호(풍납토성),강동,5,47331,42758,50742,60866,29029,52459,19791,33753
강동,길동,5,14947,18825,16418,29128,8757,27592,7173,14099
길동,굽은다리(강동구민회관앞),5,15787,23097,17133,35980,9584,35298,8062,18754
굽은다리(강동구민회관앞),명일,5,14972,24521,13134,37491,7160,37777,5613,18559
명일,고덕,5,21237,23265,17135,31799,9471,34394,7726,18078
고덕,상일동,5,35387,28418,24075,39101,9972,48895,6254,26607
강동,둔촌동,5,20044,24681,23102,33306,13208,26318,9314,15479
둔촌동,올림픽공원(한국체대),5,35480,28020,36321,31776,21185,27838,19744,17124
올림픽공원(한국체대),방이,5,15634,19772,22397,24319,12167,22182,9670,11377
방이,오금,5,21445,21592,30401,32867,12211,28244,8341,18206
오금,개롱,5,14146,17520,15638,25362,7544,23552,5691,14384
개롱,거여,5,16166,18522,15621,24836,7214,26069,5375,14857
거여,마천,5,10339,15263,9651,17301,4128,18327,2947,10810
응암,역촌,6,6915,12496,6979,18251,4049,16707,2785,9708
역촌,불광,6,51925,63347,54595,91033,31902,76830,24531,45216
불광,독바위,6,4109,7752,3345,11529,2063,11309,1186,6983
독바위,연신내,6,70439,100784,63513,156547,44608,148630,34628,91275
연신내,구산,6,12465,15616,11328,22256,6952,21388,5570,11990
구산,응암,6,27602,47978,26269,76669,16276,73242,12079,42046
응암,새절(신사),6,24262,37374,21010,55648,13024,47150,9831,31514
새절(신사),증산(명지대앞),6,16121,28174,16963,42249,10135,38139,7529,24322
증산(명지대앞),디지털미디어시티,6,80572,51946,160597,78042,71720,62824,44111,38211
디지털미디어시티,월드컵경기장(성산),6,54391,23535,54580,19707,32591,13902,16239,7591
월드컵경기장(성산),마포구청,6,31417,30864,46058,43193,25843,36083,16508,24903
마포구청,망원,6,30982,40408,42941,54273,28927,43373,22573,23920
망원,합정,6,122026,121081,181649,176483,123006,135548,100121,73382
합정,상수,6,27870,29017,36389,39597,25571,32000,23083,17848
상수,광흥창(서강),6,22863,18381,35084,25418,16911,19508,12106,12525
광흥창(서강),대흥(서강대앞),6,25389,18711,32742,26986,16822,19814,13396,11344
대흥(서강대앞),공덕,6,109679,76972,200920,120230,84530,78782,64670,46085
공덕,효창공원앞,6,24750,19959,40008,29219,19838,21919,12063,14499
효창공원앞,삼각지,6,38346,22270,57242,28709,25606,20738,19377,14186
삼각지,녹사평(용산구청),6,18728,17513,22947,22565,15814,17747,14207,10107
녹사평(용산구청),이태원,6,42064,53819,49811,73965,41872,71751,40895,50145
이태원,한강진,6,33618,20868,37242,25804,26427,15882,20844,6340
한강진,버티고개,6,5184,5454,7005,7259,4075,6468,2768,4365
버티고개,약수,6,39585,41917,52962,59071,31926,43440,24367,27922
약수,청구,6,17159,16396,28820,21810,19693,16924,11955,10782
청구,신당,6,57896,50674,71624,66812,44886,64090,34560,38999
신당,동묘앞,6,73584,37760,67522,31531,32865,23845,19514,16754
동묘앞,창신,6,5678,6686,5931,9495,3943,8837,3511,5775
창신,보문,6,19151,18680,24671,27730,13602,23021,10016,15019
보문,안암(고대병원앞),6,50456,21687,47981,29809,29068,22778,25007,15230
안암(고대병원앞),고려대(종암),6,28357,18915,29347,28116,15471,24237,12865,14403
고려대(종암),월곡(동덕여대),6,25609,29346,31137,44461,17719,38878,13512,22914
월곡(동덕여대),상월곡(한국과학기술연구원),6,12701,13441,13203,21153,8240,19628,4546,11603
상월곡(한국과학기술연구원),돌곶이,6,16447,20954,17154,29769,12329,27364,7349,16498
돌곶이,석계,6,39230,72437,36904,98921,26709,94040,20225,58135
석계,태릉입구,6,34604,34216,37648,49885,23396,47707,17367,29311
태릉입구,화랑대(서울여대입구),6,24866,23212,21522,42591,11143,38323,8980,23129
화랑대(서울여대입구),봉화산(서울의료원),6,15677,22498,14380,35566,7641,36564,5586,22383
봉화산(서울의료원),신내,6,1965,2434,2010,2607,1181,2104,814,1158
장암,도봉산,7,42414,36617,32439,48344,17519,54854,10518,34737
도봉산,수락산,7,23015,31233,23515,45587,14350,50741,9781,33340
수락산,마들,7,15581,29202,13835,42390,8588,46473,5885,29043
마들,노원,7,88585,116370,95730,166678,66696,148279,67624,84385
노원,중계,7,27155,33879,23163,50860,13110,52817,9719,32348
중계,하계,7,38330,42389,34110,63749,20655,65335,15774,39357
하계,공릉(서울과학기술대),7,28225,29317,30474,43729,17844,43358,14747,26021
공릉(서울과학기술대),태릉입구,7,34604,34216,37648,49885,23396,47707,17367,29311
태릉입구,먹골,7,17209,26949,18444,39741,11719,39275,7996,23202
먹골,중화,7,19318,28586,22827,41207,14460,40387,9605,24636
중화,상봉(시외버스터미널),7,46966,57338,52695,85144,36817,82628,27886,47578
상봉(시외버스터미널),면목,7,28088,43287,26848,59473,21305,57429,14253,34096
면목,사가정,7,29015,41026,28876,61826,21776,56312,15252,33979
사가정,용마산,7,10279,14861,9162,22730,6371,21383,3796,13534
용마산,중곡,7,20940,23197,18248,34101,12521,32786,7763,19338
중곡,군자(능동),7,49577,59834,63507,94986,41791,79147,31740,45807
군자(능동),어린이대공원(세종대),7,59255,25824,53908,33804,29302,26314,25286,17140
어린이대공원(세종대),건대입구,7,140141,166938,155664,252716,120500,195427,122980,111922
건대입구,뚝섬유원지,7,23867,31617,27462,37956,23003,30655,20375,17828
뚝섬유원지,청담,7,63664,26130,117834,30773,69870,21310,40049,14202
청담,강남구청,7,67757,41893,144387,47568,83991,34239,53317,20178
강남구청,학동,7,63038,24269,167940,24657,83497,16924,43135,10790
학동,논현,7,51195,31761,109896,41864,65693,29301,42597,15934
논현,반포,7,18421,12385,22082,14575,14787,10716,11351,6607
반포,고속터미널,7,281870,244264,286949,266759,249402,183899,273786,112185
고속터미널,내방,7,37000,26749,75320,35030,30253,25889,22105,15631
내방,총신대입구(이수),7,41738,65181,51815,95053,32195,69477,28272,39268
총신대입구(이수),남성,7,17999,28284,20003,44074,12229,36708,10138,23029
남성,숭실대입구(살피재),7,39666,33273,32892,53891,22176,45873,19401,27600
숭실대입구(살피재),상도,7,26492,25786,27037,42624,15018,34053,12402,21624
상도,장승배기,7,17674,26439,20595,40344,11907,33406,9273,20600
장승배기,신대방삼거리,7,27139,37227,36043,63740,19535,55721,15622,34800
신대방삼거리,보라매,7,23354,18646,37006,30366,15281,24639,11370,14104
보라매,신풍,7,24012,29070,23955,42319,14022,33439,9599,20185
신풍,대림(구로구청),7,78838,114438,96677,125750,56842,95129,43050,65951
대림(구로구청),남구로,7,35996,44631,84728,41877,39926,29048,22197,19472
남구로,가산디지털단지,7,216756,65510,468145,75844,204855,57172,116396,32476
가산디지털단지,철산,7,40535,64092,44825,105858,27261,98541,23832,52619
철산,광명사거리,7,43999,66955,42249,106239,29108,90041,21653,51519
광명사거리,천왕,7,15528,22370,14780,38402,8649,37482,5826,22221
천왕,온수(성공회대입구),7,40196,41103,34191,70652,17414,64075,14083,38552
온수(성공회대입구),까치울,7,13086,19737,13303,31276,8116,27807,5953,17958
까치울,부천종합운동장,7,9620,9542,12437,15180,5710,14254,3557,8618
부천종합운동장,춘의,7,26802,14608,45653,21989,17360,20829,12048,13500
춘의,신중동,7,30811,32823,45882,50352,22029,51466,22648,26582
신중동,부천시청,7,28257,29517,30299,46975,20646,45898,20769,24368
부천시청,상동,7,30586,35656,36193,51922,23390,48949,20733,27051
상동,삼산체육관,7,9775,13192,7993,20268,5208,18238,3534,11873
삼산체육관,굴포천,7,14851,25091,16473,41760,9613,41387,7251,25182
굴포천,부평구청,7,21042,21108,18636,39036,11547,42286,7992,26333
부평구청,산곡,7,,,,,,,,
산곡,석남,7,,,,,,,,
암사,천호(풍납토성),8,88170,107838,104901,154881,71981,124712,63745,69014
천호(풍납토성),강동구청,8,20643,25661,29839,37412,12884,31456,8718,19195
강동구청,몽촌토성(평화의문),8,18630,11417,25681,14777,11776,11080,8520,7386
몽촌토성(평화의문),잠실(송파구청),8,268940,231497,368330,312427,264048,223094,247370,134890
잠실(송파구청),석촌,8,31296,36742,36952,55513,22520,46393,18217,27112
석촌,송파,8,17637,22594,20324,32810,10565,29201,7178,17614
송파,가락시장,8,40929,42116,63801,55968,29546,44819,24593,28176
가락시장,문정,8,54671,26019,128083,34711,46796,29869,29553,17587
문정,장지,8,41412,39312,59356,58019,32777,46651,24992,26875
장지,복정,8,29271,22972,31387,35586,18600,30809,13098,20807
복정,산성,8,14802,13518,10632,20092,5399,18050,3644,12835
산성,남한산성입구(성남병원.검찰청),8,,,,,,,,
